ID,Smile,Smirk,Anger,Sadness,Disgust,Joy,Surprise,Fear,Contempt,BrowFurrow,Energy,Content,Upset,Angry,Stressed,Uncertain,Excited,Concentrated,EmoCogRatio,Hesitation,BrainPower,Embar,IThink,Imagin,ExtremeEmotion,Arousal,Movement,M_Activity,M_Rate,M_Consistency,M_Mirror,M_MirrorLag,Posture,P_Activity,P_Rate,P_Mirroring,P_MirrorLag,Successful interruptions,Unsuccessful interruptions,Speed of Turn,Overlap,Total Speaking,Volume,Volume Consistency,Pitch,Vol_Mirroring,Vol_MirrorLag,ContinuumLith_high
2,0.002195,0.000393,0.001284,0.06752000000000001,4.30324,0.001778,0.28591500000000003,0.005196,0.192654,0.001016,6.578947,0.157895,0.0,0.0,4.052632,17.421053,18.105263,6.421053,90.52631600000001,15.894737,707.578947,2.2105259999999998,3.5263160000000005,2.7894740000000002,1.0,1.0,0.03235754,0.003618582,-0.000253165,0.986618452,0.185965952,28.48387097,40.64744267,1.069743898,-0.053027974000000005,0.263697146,21.51612903,38.0,47.0,0.129032258,0.041935484,0.090322581,0.009695160999999999,0.424172237,145.4248625,0.33415711600000003,2.774193548,Lower
3,2.5e-05,0.019221000000000002,0.0016879999999999998,0.034727999999999995,0.429921,0.001823,0.22741199999999998,0.004743,0.19307,2.4e-05,2.1538459999999997,0.0,3.8461540000000003,0.0,12.307692,15.230769,17.076923,5.7692309999999996,41.076923,17.461538,567.0769230000001,0.0,13.230769,8.307692,3.615385,1.153846,0.032096395,0.009473615999999999,-0.00042590300000000005,0.981804645,0.226555953,38.80645161,64.11217386,3.196938527,0.082394488,0.19797261300000002,38.0,9.0,34.0,0.35483871,0.170967742,0.6806451609999999,0.019781989,0.31864729,230.2453357,0.241488335,27.09677419,Higher
4,3.282854,2e-06,0.00014199999999999998,0.000566,1.261591,0.07235499999999999,79.437198,1e-05,0.17316700000000002,2e-06,2.4705880000000002,0.0,2.941176,0.0,9.882353,14.294118,21.0,11.352941,53.588235,17.235294,664.352941,2.058824,9.588235000000001,6.647059,3.764706,0.294118,0.033248663,0.003729498,-3.8799999999999994e-05,0.985518371,0.13057648800000002,20.90322581,65.4985573,1.2198872109999999,-0.013674998,0.20348514199999998,14.67741935,9.0,4.0,0.225806452,0.016129031999999998,0.24193548399999998,0.015501768999999999,0.16233168,208.81700759999998,0.133627691,2.741935484,Lower
5,0.18895499999999998,7.395905,0.002343,6.07487,0.865865,0.006208,4.623088,0.018973,0.6149060000000001,0.021775,5.692308000000001,0.0,1.384615,0.0,2.307692,17.384615,13.615385,10.153846000000001,87.846154,17.923077,645.307692,0.0,4.2307690000000004,2.230769,0.769231,1.307692,0.037518132,0.008247131,0.00020746,0.981715645,0.276738135,20.38709677,70.80708047,2.8810886539999996,0.000281092,0.117255355,24.80645161,32.0,3.0,0.709677419,0.032258065,0.251612903,0.013233938,0.03688346,232.4024111,0.373579676,13.06451613,Lower
6,0.03613,0.35609,0.044295,0.205677,0.357373,0.0018920000000000002,0.372105,0.007372,0.201037,0.34531100000000003,13.277778,0.0,1.9444439999999998,0.0,3.4444440000000003,16.166667,16.388889000000002,12.722222,96.666667,15.333332999999998,682.333333,1.166667,5.944444,1.9444439999999998,5.111111,6.6666669999999995,0.029202241,0.006811505,-0.000161555,0.982291968,0.149118222,22.29032258,67.63932462,3.520344427,0.03157274,0.227837376,30.61290323,20.0,24.0,0.45161290299999995,0.025806452,0.170967742,0.018386064,0.22794095,179.2195,0.153245991,9.387096774,Higher
7,5.2000000000000004e-05,0.02402,0.031352,0.010915000000000001,18.232097,0.002773,0.371033,0.004301,0.196651,0.954413,10.666667,0.0,0.0,0.0,2.666667,25.0,14.666667000000002,11.666667,76.333333,17.666667,658.0,2.333333,5.3333330000000005,0.0,2.333333,4.3333330000000005,0.029892116,0.004638482,6.850000000000001e-05,0.989072,0.16096628400000002,16.85714286,70.99604786,1.3367601690000002,-0.013904273,0.180259745,19.28571429,8.0,8.0,0.107142857,0.0,0.046428570999999995,0.015679113999999997,0.224146528,211.85845780000002,0.15308488,16.32142857,Higher
8,4.70475,0.026249,0.001591,0.017019,0.303294,0.004528,0.19350799999999999,0.0033759999999999997,0.139441,7.8e-05,6.5,0.0,0.0,0.0,3.0,17.5,16.0,22.5,130.5,14.5,820.5,0.0,5.0,5.0,9.0,12.0,0.035647045,0.002944955,6.05e-05,0.9938941290000001,0.19328911899999998,18.22580645,81.18940374,0.5413991220000001,0.001410262,0.228820461,15.41935484,10.0,7.0,0.032258065,0.0,0.032258065,0.004354755,0.608914129,168.244878,0.635134891,2.290322581,Higher
9,0.47762,0.005187,0.009887,0.002681,0.9521,0.004372,1.1656090000000001,1.20308,0.186114,0.000139,2.0,0.0,0.44444399999999995,0.0,8.0,14.333332999999998,15.222222,6.222222,47.555556,16.0,641.666667,3.888889,10.666667,4.555556,1.0,2.333333,0.03090783,0.007341321,5.21e-05,0.9831185809999999,0.27827576800000003,21.06451613,81.24734993,2.38202327,-0.017999038000000002,0.176250535,18.16129032,2.0,0.0,0.548387097,0.041935484,0.277419355,0.01257512,0.213849218,146.1331667,0.08549179800000001,8.64516129,Lower
10,1e-06,0.021262,0.002583,0.026333999999999996,38.061718,0.001641,0.178093,0.004728,0.198914,1.5761180000000001,1.0,0.0,3.0,0.0,3.0,11.5,9.0,4.5,25.5,18.0,397.5,0.0,15.0,3.0,3.5,0.0,0.044993998,0.005520239000000001,0.000180455,0.985588694,0.19038416100000002,25.77419355,54.41752871,1.679476314,0.01370253,0.15247359,22.25806452,1.0,1.0,0.774193548,0.158064516,0.416129032,0.012759601,0.370226558,202.83015890000001,0.11730172900000001,16.12903226,Higher
12,0.006872,1.14371,0.000233,1.852255,71.52849499999999,0.002269,1.089246,0.01465,0.21743600000000002,3.9e-05,4.823529,0.0,3.705882,0.0,5.705882,21.647059,13.705882,15.176471,66.0,15.588235000000001,586.4117650000001,0.41176499999999994,5.0588239999999995,2.058824,1.2352940000000001,3.411765,0.036762056,0.011927973,-0.000358874,0.971678387,0.234036551,9.806451613,66.59868249,2.862007256,-0.024626062999999997,0.17547196699999998,21.67741935,4.0,6.0,1.0,0.109677419,0.548387097,0.014040023,0.304270066,189.49318200000002,0.208666463,11.80645161,Higher
