Iter,CatBoost,kNN,SVM (RBF),Gaussian Process,Decision Tree,Random Forest,Neural Net,AdaBoost,Naive Bayes,QDA,XGB
0,0.6666666666666665,0.5714285714285714,0.7368421052631579,0.5333333333333333,0.7142857142857143,0.7368421052631579,0.7777777777777778,0.6666666666666665,0.7368421052631579,0.7999999999999999,0.5
1,0.7777777777777778,0.6250000000000001,0.7368421052631579,0.5333333333333333,0.8750000000000001,0.6666666666666665,0.588235294117647,0.6666666666666666,0.7368421052631579,0.5714285714285714,0.8235294117647058
2,0.7777777777777778,0.6250000000000001,0.7368421052631579,0.5714285714285714,0.7368421052631579,0.6250000000000001,0.5714285714285714,0.7142857142857143,0.6666666666666665,0.5454545454545454,0.6250000000000001
3,0.75,0.5714285714285714,0.7368421052631579,0.3333333333333333,0.5,0.7368421052631579,0.6250000000000001,0.6666666666666666,0.6250000000000001,0.7999999999999999,0.5333333333333333
4,0.7058823529411764,0.5333333333333333,0.7368421052631579,0.30769230769230765,0.6250000000000001,0.7368421052631579,0.4615384615384615,0.5333333333333333,0.5,0.7692307692307692,0.2857142857142857
5,0.8235294117647058,0.6666666666666666,0.7368421052631579,0.6153846153846153,0.7999999999999999,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.7368421052631579,0.75,0.7999999999999999
6,0.7777777777777778,0.4615384615384615,0.7368421052631579,0.5,0.7777777777777778,0.7368421052631579,0.7058823529411764,0.7777777777777778,0.75,0.75,0.7777777777777778
7,0.8235294117647058,0.5714285714285714,0.7368421052631579,0.6666666666666666,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.6666666666666666,0.7368421052631579,0.0,0.8235294117647058
8,0.7999999999999999,0.2,0.7368421052631579,0.18181818181818182,0.7999999999999999,0.7058823529411764,0.6666666666666666,0.6250000000000001,0.7777777777777778,0.5,0.6153846153846153
9,0.7999999999999999,0.7999999999999999,0.7368421052631579,0.6666666666666666,0.6153846153846153,0.7058823529411764,0.6666666666666666,0.6666666666666666,0.75,0.36363636363636365,0.7058823529411764
10,0.6666666666666666,0.7142857142857143,0.7368421052631579,0.7142857142857143,0.5714285714285714,0.6250000000000001,0.6666666666666665,0.5714285714285714,0.75,0.5,0.42857142857142855
11,0.75,0.0,0.7368421052631579,0.6,0.5,0.6666666666666666,0.7692307692307692,0.5714285714285714,0.6666666666666666,0.4,0.5714285714285714
12,0.4615384615384615,0.5714285714285714,0.7368421052631579,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.4615384615384615,0.75,0.5,0.5714285714285714
13,0.6250000000000001,0.6666666666666666,0.6666666666666665,0.6666666666666666,0.7999999999999999,0.5333333333333333,0.6153846153846153,0.75,0.6250000000000001,0.36363636363636365,0.5714285714285714
14,0.42857142857142855,0.39999999999999997,0.588235294117647,0.5,0.42857142857142855,0.39999999999999997,0.4615384615384615,0.4615384615384615,0.588235294117647,0.4615384615384615,0.6666666666666666
15,0.6666666666666665,0.6250000000000001,0.7368421052631579,0.5333333333333333,0.75,0.6666666666666665,0.5333333333333333,0.6666666666666665,0.39999999999999997,0.6666666666666666,0.6666666666666665
16,0.5333333333333333,0.7142857142857143,0.7368421052631579,0.5714285714285714,0.8750000000000001,0.6666666666666666,0.6250000000000001,0.7058823529411764,0.6250000000000001,0.4,0.3333333333333333
17,0.8235294117647058,0.5454545454545454,0.7368421052631579,0.5333333333333333,0.7999999999999999,0.6666666666666665,0.6666666666666666,0.6153846153846153,0.75,0.7999999999999999,0.7058823529411764
18,0.7368421052631579,0.42857142857142855,0.7368421052631579,0.5,0.7777777777777778,0.7368421052631579,0.3333333333333333,0.7777777777777778,0.6153846153846153,0.4615384615384615,0.7999999999999999
19,0.7777777777777778,0.5714285714285714,0.7368421052631579,0.5714285714285714,0.42857142857142855,0.7777777777777778,0.6153846153846153,0.6666666666666665,0.7058823529411764,0.6666666666666666,0.7058823529411764
20,0.7777777777777778,0.6666666666666666,0.7368421052631579,0.7142857142857143,0.8235294117647058,0.7368421052631579,0.7058823529411764,0.7777777777777778,0.6666666666666665,0.6666666666666666,0.7777777777777778
21,0.7777777777777778,0.3333333333333333,0.7368421052631579,0.30769230769230765,0.6666666666666666,0.7777777777777778,0.6250000000000001,0.7058823529411764,0.7368421052631579,0.7692307692307692,0.6666666666666665
22,0.7777777777777778,0.75,0.7368421052631579,0.5,0.7999999999999999,0.7368421052631579,0.6153846153846153,0.8235294117647058,0.42857142857142855,0.4615384615384615,0.8235294117647058
23,0.6666666666666665,0.5333333333333333,0.7368421052631579,0.5,0.5,0.7368421052631579,0.5,0.7368421052631579,0.6666666666666665,0.6666666666666666,0.6666666666666665
24,0.5333333333333333,0.75,0.7368421052631579,0.75,0.5714285714285714,0.7058823529411764,0.75,0.5,0.6666666666666666,0.4615384615384615,0.2
25,0.7999999999999999,0.7142857142857143,0.7368421052631579,0.9333333333333333,0.6153846153846153,0.7777777777777778,0.7142857142857143,0.7142857142857143,0.8750000000000001,0.8750000000000001,0.8750000000000001
26,0.7058823529411764,0.5454545454545454,0.7368421052631579,0.36363636363636365,0.7692307692307692,0.6666666666666665,0.6153846153846153,0.6153846153846153,0.7142857142857143,0.6153846153846153,0.75
27,0.75,0.42857142857142855,0.7368421052631579,0.4615384615384615,0.7999999999999999,0.7777777777777778,0.7058823529411764,0.75,0.7777777777777778,0.5333333333333333,0.75
28,0.75,0.6666666666666666,0.7368421052631579,0.6666666666666666,0.6666666666666666,0.7058823529411764,0.7058823529411764,0.6250000000000001,0.7142857142857143,0.36363636363636365,0.6666666666666666
29,0.75,0.5714285714285714,0.7368421052631579,0.6153846153846153,0.6666666666666666,0.5714285714285714,0.4615384615384615,0.7692307692307692,0.6666666666666666,0.0,0.7142857142857143
30,0.7999999999999999,0.6250000000000001,0.7368421052631579,0.5333333333333333,0.7142857142857143,0.75,0.4615384615384615,0.6153846153846153,0.6666666666666666,0.5454545454545454,0.5714285714285714
31,0.75,0.3333333333333333,0.7368421052631579,0.6666666666666666,0.6666666666666666,0.8235294117647058,0.6250000000000001,0.6666666666666666,0.7368421052631579,0.6666666666666666,0.5714285714285714
32,0.6666666666666665,0.6666666666666665,0.7368421052631579,0.6250000000000001,0.6250000000000001,0.6666666666666665,0.588235294117647,0.6666666666666665,0.7368421052631579,0.22222222222222224,0.588235294117647
33,0.8750000000000001,0.8571428571428571,0.7368421052631579,0.923076923076923,0.5,0.7142857142857143,0.7142857142857143,0.6153846153846153,0.75,0.7777777777777778,0.7058823529411764
