Iter,CatBoost,kNN,SVM (RBF),Gaussian Process,Decision Tree,Random Forest,Neural Net,AdaBoost,Naive Bayes,QDA,XGB
0,0.7999999999999999,0.5333333333333333,0.6666666666666666,0.6666666666666666,0.7999999999999999,0.8750000000000001,0.6666666666666666,0.7999999999999999,0.7058823529411764,0.75,0.7058823529411764
1,0.75,0.7058823529411764,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7058823529411764,0.7777777777777778,0.75,0.7368421052631579,0.7368421052631579,0.7058823529411764
2,0.6666666666666666,0.5333333333333333,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.75,0.6250000000000001,0.8235294117647058,0.7368421052631579,0.7368421052631579,0.6666666666666666
3,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.7142857142857143,0.7999999999999999,0.5714285714285714,0.7142857142857143,0.75,0.75,0.7058823529411764
4,0.8750000000000001,0.6250000000000001,0.75,0.75,0.8750000000000001,0.8235294117647058,0.6666666666666666,0.9333333333333333,0.7777777777777778,0.7777777777777778,0.7999999999999999
5,0.8571428571428571,0.7777777777777778,0.7777777777777778,0.8235294117647058,0.8571428571428571,0.8571428571428571,0.75,0.6666666666666666,0.7058823529411764,0.7058823529411764,0.75
6,0.7999999999999999,0.8235294117647058,0.75,0.75,0.7692307692307692,0.7999999999999999,0.6666666666666666,0.7142857142857143,0.7058823529411764,0.75,0.7777777777777778
7,0.6666666666666666,0.5454545454545454,0.7368421052631579,0.8750000000000001,0.6666666666666666,0.7692307692307692,0.6153846153846153,0.8571428571428571,0.75,0.7058823529411764,0.6666666666666666
8,0.6666666666666666,0.7777777777777778,0.7368421052631579,0.7777777777777778,0.5714285714285714,0.6666666666666666,0.7777777777777778,0.6153846153846153,0.8235294117647058,0.7777777777777778,0.7058823529411764
9,0.8235294117647058,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8235294117647058,0.8235294117647058,0.5714285714285714,0.8235294117647058,0.6250000000000001,0.5714285714285714,0.6153846153846153
10,0.7999999999999999,0.7142857142857143,0.6666666666666666,0.75,0.8571428571428571,0.7999999999999999,0.7142857142857143,0.7999999999999999,0.75,0.75,0.7058823529411764
11,0.5714285714285714,0.7058823529411764,0.7777777777777778,0.75,0.36363636363636365,0.6153846153846153,0.7999999999999999,0.6153846153846153,0.7058823529411764,0.7058823529411764,0.5333333333333333
12,0.7777777777777778,0.7368421052631579,0.7777777777777778,0.8235294117647058,0.8235294117647058,0.7777777777777778,0.75,0.7058823529411764,0.7777777777777778,0.7777777777777778,0.7777777777777778
