Iter,CatBoost,kNN,SVM (RBF),Gaussian Process,Decision Tree,Random Forest,Neural Net,AdaBoost,Naive Bayes,QDA,XGB
0,0.6666666666666666,0.7142857142857143,0.8235294117647058,0.7692307692307692,0.4615384615384615,0.5714285714285714,0.7142857142857143,0.5,0.6666666666666666,0.7777777777777778,0.7142857142857143
1,0.5714285714285714,0.6153846153846153,0.8235294117647058,0.7142857142857143,0.8750000000000001,0.8235294117647058,0.75,0.5714285714285714,0.5333333333333333,0.7777777777777778,0.5714285714285714
2,0.8571428571428571,0.8750000000000001,0.8235294117647058,0.8750000000000001,0.8571428571428571,0.8571428571428571,0.8750000000000001,0.8333333333333333,0.8750000000000001,0.7777777777777778,0.75
3,0.75,0.7999999999999999,0.8235294117647058,0.8571428571428571,0.7999999999999999,0.75,0.6153846153846153,0.8235294117647058,0.5714285714285714,0.7777777777777778,0.6666666666666666
4,0.8750000000000001,0.8571428571428571,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.8750000000000001,0.8571428571428571,0.7692307692307692,0.8750000000000001,0.7777777777777778,0.9333333333333333
5,0.6666666666666666,0.7692307692307692,0.8750000000000001,0.6153846153846153,0.2,0.8235294117647058,0.7142857142857143,0.4,0.75,0.7777777777777778,0.8750000000000001
6,0.8235294117647058,0.75,0.7777777777777778,0.7999999999999999,0.75,0.8235294117647058,0.7777777777777778,0.7777777777777778,0.7999999999999999,0.7777777777777778,0.8235294117647058
7,0.8750000000000001,0.75,0.8235294117647058,0.7142857142857143,0.7999999999999999,0.8235294117647058,0.7999999999999999,0.8571428571428571,0.8571428571428571,0.7777777777777778,0.6153846153846153
8,0.7692307692307692,0.9333333333333333,0.8750000000000001,0.7999999999999999,0.7692307692307692,0.7999999999999999,0.8750000000000001,0.7692307692307692,0.7058823529411764,0.7777777777777778,0.7999999999999999
9,0.7999999999999999,0.6666666666666666,0.75,0.8571428571428571,0.5714285714285714,0.7999999999999999,0.7692307692307692,0.6153846153846153,0.6250000000000001,0.7777777777777778,0.75
10,0.7999999999999999,0.6666666666666666,0.8235294117647058,0.7692307692307692,0.7999999999999999,0.7999999999999999,0.7142857142857143,0.7999999999999999,0.6666666666666666,0.7777777777777778,0.6666666666666666
11,0.9333333333333333,0.6153846153846153,0.8750000000000001,0.923076923076923,0.8333333333333333,0.8571428571428571,0.8571428571428571,0.8333333333333333,0.5454545454545454,0.7777777777777778,0.6666666666666666
12,0.8750000000000001,0.7999999999999999,0.8750000000000001,0.8571428571428571,0.9333333333333333,0.7999999999999999,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7777777777777778,0.7999999999999999
13,0.8235294117647058,0.4615384615384615,0.6666666666666666,0.6153846153846153,0.9333333333333333,0.8235294117647058,0.7692307692307692,0.8235294117647058,0.5714285714285714,0.7777777777777778,0.8750000000000001
14,0.7999999999999999,0.8750000000000001,0.8750000000000001,0.8571428571428571,0.9333333333333333,0.9333333333333333,0.8571428571428571,0.6153846153846153,0.6666666666666666,0.7777777777777778,0.6666666666666666
15,0.4,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7692307692307692,0.3333333333333333,0.5454545454545454,0.7692307692307692,0.42857142857142855,0.7777777777777778,0.3333333333333333
16,0.75,0.7142857142857143,0.8750000000000001,0.7692307692307692,0.7692307692307692,0.8235294117647058,0.7692307692307692,0.75,0.6666666666666666,0.7777777777777778,0.8235294117647058
17,0.8571428571428571,0.9333333333333333,0.9333333333333333,0.7692307692307692,0.8571428571428571,0.7692307692307692,0.9333333333333333,0.6666666666666666,0.75,0.7777777777777778,0.6666666666666666
18,0.7999999999999999,0.8750000000000001,0.8235294117647058,0.8750000000000001,0.5,0.8750000000000001,0.6666666666666666,0.5,0.5714285714285714,0.7777777777777778,0.7142857142857143
19,0.7999999999999999,1.0,0.8571428571428571,0.8333333333333333,0.75,0.8750000000000001,0.7999999999999999,0.6153846153846153,0.75,0.7777777777777778,0.75
20,0.75,0.6250000000000001,0.7777777777777778,0.75,0.6666666666666666,0.7058823529411764,0.75,0.6666666666666666,0.7999999999999999,0.7777777777777778,0.6666666666666666
21,0.8235294117647058,0.6153846153846153,0.7777777777777778,0.8333333333333333,0.75,0.8750000000000001,0.7999999999999999,0.8235294117647058,0.7999999999999999,0.7777777777777778,0.8235294117647058
22,0.7777777777777778,0.8750000000000001,0.8750000000000001,0.8750000000000001,0.4615384615384615,0.7777777777777778,0.8750000000000001,0.8235294117647058,0.6666666666666666,0.7777777777777778,0.7777777777777778
23,0.8750000000000001,0.8750000000000001,0.8235294117647058,0.8750000000000001,0.6666666666666666,0.8571428571428571,0.8750000000000001,0.8750000000000001,0.8235294117647058,0.7777777777777778,0.8750000000000001
24,0.6666666666666666,0.7999999999999999,0.8235294117647058,0.7999999999999999,0.36363636363636365,0.75,0.8571428571428571,0.6153846153846153,0.6666666666666666,0.7777777777777778,0.7142857142857143
25,0.8750000000000001,0.75,0.8750000000000001,0.8235294117647058,0.6666666666666666,0.8235294117647058,0.8750000000000001,0.6666666666666666,0.7058823529411764,0.7777777777777778,0.7999999999999999
26,0.9333333333333333,0.923076923076923,0.9333333333333333,0.8333333333333333,0.923076923076923,0.8750000000000001,0.7272727272727273,0.8333333333333333,0.75,0.7777777777777778,0.75
27,0.8235294117647058,0.8235294117647058,0.7777777777777778,0.7999999999999999,0.75,0.8235294117647058,0.7058823529411764,0.6666666666666666,0.75,0.7777777777777778,0.75
28,0.8750000000000001,0.8571428571428571,0.9333333333333333,0.923076923076923,1.0,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.6153846153846153,0.7777777777777778,0.8750000000000001
29,0.7999999999999999,0.9333333333333333,0.8235294117647058,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7999999999999999,0.5454545454545454,0.7999999999999999,0.7777777777777778,0.4615384615384615
30,0.8235294117647058,0.8750000000000001,0.8750000000000001,0.8750000000000001,0.5454545454545454,0.8235294117647058,0.7999999999999999,0.5454545454545454,0.75,0.7777777777777778,0.5714285714285714
31,0.8235294117647058,0.75,0.8235294117647058,0.75,0.9333333333333333,0.8235294117647058,0.8235294117647058,0.75,0.8235294117647058,0.7777777777777778,0.6666666666666666
32,0.7142857142857143,0.8750000000000001,0.8750000000000001,0.8235294117647058,0.4444444444444445,0.7142857142857143,0.9333333333333333,0.4444444444444445,0.75,0.7777777777777778,0.5454545454545454
33,0.9333333333333333,0.8750000000000001,0.8750000000000001,0.9333333333333333,0.6,0.7999999999999999,0.8750000000000001,0.7142857142857143,0.8750000000000001,0.7777777777777778,0.75
34,0.7692307692307692,0.7999999999999999,0.8750000000000001,0.8571428571428571,0.7692307692307692,0.7999999999999999,0.7999999999999999,0.7692307692307692,0.7142857142857143,0.7777777777777778,0.6666666666666666
35,0.8750000000000001,0.7142857142857143,0.8750000000000001,0.8333333333333333,0.7058823529411764,0.8750000000000001,0.7692307692307692,0.8571428571428571,0.6666666666666666,0.7777777777777778,0.6666666666666666
36,0.9333333333333333,0.8333333333333333,0.9333333333333333,0.7692307692307692,0.8333333333333333,0.9333333333333333,0.8333333333333333,0.8333333333333333,0.7142857142857143,0.7777777777777778,0.6153846153846153
37,0.7999999999999999,0.8750000000000001,0.8750000000000001,0.8750000000000001,0.7142857142857143,0.8750000000000001,0.8750000000000001,0.7142857142857143,0.8235294117647058,0.7777777777777778,0.7999999999999999
38,0.7999999999999999,0.8750000000000001,0.8750000000000001,0.8750000000000001,0.6153846153846153,0.8571428571428571,0.7999999999999999,0.75,0.7777777777777778,0.7777777777777778,0.7999999999999999
39,0.8235294117647058,0.5714285714285714,0.7777777777777778,0.8750000000000001,0.8750000000000001,0.7777777777777778,0.8235294117647058,0.8235294117647058,0.75,0.7777777777777778,0.8235294117647058
40,0.7142857142857143,0.6153846153846153,0.7999999999999999,0.5,0.7999999999999999,0.5,0.5,0.7692307692307692,0.5333333333333333,0.7777777777777778,0.36363636363636365
41,0.75,0.7777777777777778,0.7777777777777778,0.7058823529411764,0.4615384615384615,0.75,0.7777777777777778,0.4615384615384615,0.7777777777777778,0.7777777777777778,0.5714285714285714
42,0.8750000000000001,0.9333333333333333,0.8750000000000001,0.8750000000000001,0.7272727272727273,0.8750000000000001,0.8750000000000001,0.7692307692307692,0.8235294117647058,0.7777777777777778,0.7999999999999999
43,0.6666666666666666,0.8571428571428571,0.9333333333333333,0.8571428571428571,0.4444444444444445,0.75,0.7692307692307692,0.4444444444444445,0.7999999999999999,0.7777777777777778,0.6666666666666666
44,0.7999999999999999,0.8750000000000001,0.8235294117647058,0.75,0.8571428571428571,0.8750000000000001,0.7999999999999999,0.6153846153846153,0.7777777777777778,0.7777777777777778,0.6666666666666666
45,0.6666666666666666,0.7999999999999999,0.8750000000000001,0.8750000000000001,0.7142857142857143,0.4615384615384615,0.7999999999999999,0.7692307692307692,0.8750000000000001,0.7777777777777778,0.7058823529411764
46,0.8235294117647058,0.8750000000000001,0.8235294117647058,0.7999999999999999,0.7999999999999999,0.7777777777777778,0.75,0.75,0.7058823529411764,0.7777777777777778,0.6250000000000001
47,0.7692307692307692,0.8750000000000001,0.8750000000000001,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8235294117647058,0.7777777777777778,0.6153846153846153
48,0.8235294117647058,0.7999999999999999,0.8750000000000001,0.7142857142857143,0.75,0.8235294117647058,0.8750000000000001,0.8235294117647058,0.8235294117647058,0.7777777777777778,0.8235294117647058
